GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-01-20,00:10:30,889,-43.51908,147.47651,0
2019-01-20,00:10:40,890,-43.51955,147.47641,0
2019-01-20,00:10:50,889,-43.52002,147.4763,0
2019-01-20,00:11:00,889,-43.52045,147.4762,0
2019-01-20,00:11:10,890,-43.52088,147.4761,0
2019-01-20,00:11:20,889,-43.52132,147.47598,0
2019-01-20,00:11:30,889,-43.52176,147.47586,0
2019-01-20,00:11:40,890,-43.5222,147.47576,0
2019-01-20,00:11:50,889,-43.52264,147.47565,0
2019-01-20,00:12:00,889,-43.5231,147.47552,0
2019-01-20,00:12:10,890,-43.52355,147.47542,0
2019-01-20,00:12:20,889,-43.524,147.47534,0
2019-01-20,00:12:30,889,-43.52446,147.47525,0
2019-01-20,00:12:40,889,-43.5249,147.47518,0
2019-01-20,00:12:50,889,-43.52534,147.47509,0
2019-01-20,00:13:00,889,-43.52578,147.47499,0
2019-01-20,00:13:10,889,-43.52622,147.47489,0
2019-01-20,00:13:20,889,-43.52665,147.47479,0
2019-01-20,00:13:30,889,-43.52709,147.47469,0
2019-01-20,00:13:40,889,-43.52753,147.47457,0
2019-01-20,00:13:50,889,-43.52799,147.47444,0
2019-01-20,00:14:00,889,-43.52846,147.47432,0
2019-01-20,00:14:10,889,-43.52893,147.4742,0
2019-01-20,00:14:20,889,-43.52941,147.47408,0
2019-01-20,00:14:30,889,-43.52989,147.47399,0
2019-01-20,00:14:40,889,-43.53036,147.47391,0
2019-01-20,00:14:50,889,-43.53081,147.47384,0
2019-01-20,00:15:00,889,-43.53127,147.47375,0
2019-01-20,00:15:10,889,-43.53173,147.47366,0
2019-01-20,00:15:20,889,-43.53218,147.47359,0
2019-01-20,00:15:30,889,-43.53262,147.4735,0
2019-01-20,00:15:40,889,-43.53305,147.47341,0
2019-01-20,00:15:50,889,-43.53348,147.47331,0
2019-01-20,00:16:00,889,-43.53391,147.47319,0
2019-01-20,00:16:10,889,-43.53435,147.47306,0
2019-01-20,00:16:20,889,-43.53479,147.47294,0
2019-01-20,00:16:30,889,-43.53524,147.47285,0
2019-01-20,00:16:40,889,-43.53569,147.47274,0
2019-01-20,00:16:50,889,-43.53614,147.47261,0
2019-01-20,00:17:00,889,-43.53659,147.4725,0
2019-01-20,00:17:10,889,-43.53702,147.47242,0
2019-01-20,00:17:20,889,-43.53745,147.47234,0
2019-01-20,00:17:30,889,-43.53788,147.47227,0
2019-01-20,00:17:40,889,-43.53831,147.47217,0
2019-01-20,00:17:50,889,-43.53874,147.47207,0
2019-01-20,00:18:00,889,-43.53919,147.47196,0
2019-01-20,00:18:10,889,-43.53962,147.47186,0
2019-01-20,00:18:20,889,-43.54006,147.47177,0
2019-01-20,00:18:30,889,-43.5405,147.47168,0
2019-01-20,00:18:40,889,-43.54093,147.47162,0
2019-01-20,00:18:50,889,-43.54135,147.47153,0
2019-01-20,00:19:00,889,-43.54178,147.47143,0
2019-01-20,00:19:10,889,-43.54221,147.47131,0
2019-01-20,00:19:20,889,-43.54264,147.47118,0
2019-01-20,00:19:30,889,-43.54309,147.47105,0
2019-01-20,00:19:40,889,-43.54353,147.47094,0
2019-01-20,00:19:50,890,-43.54397,147.47085,0
2019-01-20,00:20:00,889,-43.5444,147.47075,0
2019-01-20,00:20:10,889,-43.54483,147.47068,0
2019-01-20,00:20:20,890,-43.54525,147.47061,0
2019-01-20,00:20:30,889,-43.54567,147.47053,0
2019-01-20,00:20:40,889,-43.54608,147.47045,0
2019-01-20,00:20:50,890,-43.5465,147.47039,0
2019-01-20,00:21:00,889,-43.54692,147.47029,0
2019-01-20,00:21:10,889,-43.54735,147.47016,0
2019-01-20,00:21:20,890,-43.54778,147.47005,0
2019-01-20,00:21:30,889,-43.54821,147.46993,0
2019-01-20,00:21:40,889,-43.54865,147.46983,0
2019-01-20,00:21:50,890,-43.54909,147.46973,0
2019-01-20,00:22:00,889,-43.54952,147.46964,0
2019-01-20,00:22:10,889,-43.54995,147.46954,0
2019-01-20,00:22:20,890,-43.55035,147.46944,0
