GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,21:44:20,624,-13.78601,155.54037,0
2019-08-19,21:44:30,624,-13.7855,155.54045,0
2019-08-19,21:44:40,624,-13.78499,155.54052,0
2019-08-19,21:44:50,624,-13.78447,155.54058,0
2019-08-19,21:45:00,624,-13.78397,155.54064,0
2019-08-19,21:45:10,624,-13.78346,155.54071,0
2019-08-19,21:45:20,624,-13.78294,155.54078,0
2019-08-19,21:45:30,624,-13.78243,155.54084,0
2019-08-19,21:45:40,624,-13.78192,155.5409,0
2019-08-19,21:45:50,624,-13.7814,155.54095,0
2019-08-19,21:46:00,624,-13.78088,155.54101,0
2019-08-19,21:46:10,624,-13.78036,155.54107,0
2019-08-19,21:46:20,624,-13.77985,155.54113,0
2019-08-19,21:46:30,624,-13.77934,155.54119,0
2019-08-19,21:46:40,624,-13.77883,155.54125,0
2019-08-19,21:46:50,624,-13.77832,155.54132,0
2019-08-19,21:47:00,624,-13.77781,155.54139,0
2019-08-19,21:47:10,624,-13.7773,155.54146,0
2019-08-19,21:47:20,624,-13.77678,155.54154,0
2019-08-19,21:47:30,624,-13.77627,155.54161,0
2019-08-19,21:47:40,624,-13.77576,155.54166,0
2019-08-19,21:47:50,624,-13.77525,155.54173,0
2019-08-19,21:48:00,624,-13.77473,155.54179,0
2019-08-19,21:48:10,624,-13.77422,155.54185,0
2019-08-19,21:48:20,624,-13.7737,155.54191,0
2019-08-19,21:48:30,625,-13.7732,155.54198,0
2019-08-19,21:48:40,624,-13.77268,155.54204,0
2019-08-19,21:48:50,624,-13.77217,155.54211,0
2019-08-19,21:49:00,625,-13.77165,155.54217,0
2019-08-19,21:49:10,624,-13.77113,155.54223,0
2019-08-19,21:49:20,624,-13.77061,155.5423,0
2019-08-19,21:49:30,624,-13.7701,155.54237,0
2019-08-19,21:49:37,624,-13.76974,155.54241,0
2019-08-19,21:49:40,624,-13.76958,155.54243,0
2019-08-19,21:49:50,624,-13.76907,155.5425,0
2019-08-19,21:50:00,624,-13.76856,155.54257,0
2019-08-19,21:50:10,624,-13.76803,155.54262,0
2019-08-19,21:50:20,624,-13.76753,155.54268,0
2019-08-19,21:50:30,624,-13.76701,155.54275,0
2019-08-19,21:50:40,624,-13.7665,155.54281,0
2019-08-19,21:50:50,624,-13.76599,155.54288,0
2019-08-19,21:51:00,624,-13.76548,155.54295,0
2019-08-19,21:51:10,624,-13.76496,155.54301,0
2019-08-19,21:51:20,624,-13.76445,155.54305,0
2019-08-19,21:51:30,624,-13.76394,155.54311,0
2019-08-19,21:51:40,624,-13.76344,155.54318,0
2019-08-19,21:51:50,624,-13.76293,155.54326,0
2019-08-19,21:52:00,624,-13.76242,155.54333,0
2019-08-19,21:52:10,624,-13.76191,155.5434,0
2019-08-19,21:52:20,624,-13.7614,155.54347,0
2019-08-19,21:52:30,624,-13.76089,155.54353,0
2019-08-19,21:52:40,624,-13.76039,155.54359,0
2019-08-19,21:52:50,624,-13.75987,155.54364,0
2019-08-19,21:53:00,624,-13.75937,155.54369,0
2019-08-19,21:53:10,624,-13.75886,155.54376,0
2019-08-19,21:53:20,624,-13.75835,155.54383,0
