Roll_date,Roll_time,Roll_milliseconds,Roll_angle
2019-08-19,20:09:42,443,-0.31
2019-08-19,20:09:42,543,-0.3
2019-08-19,20:09:42,643,-0.3
2019-08-19,20:09:42,743,-0.29
2019-08-19,20:09:42,843,-0.29
2019-08-19,20:09:42,943,-0.29
2019-08-19,20:09:43,043,-0.3
2019-08-19,20:09:43,143,-0.31
2019-08-19,20:09:43,243,-0.32
2019-08-19,20:09:43,343,-0.34
2019-08-19,20:09:43,443,-0.35
2019-08-19,20:09:43,543,-0.37
2019-08-19,20:09:43,643,-0.39
2019-08-19,20:09:43,744,-0.42
2019-08-19,20:09:43,844,-0.44
2019-08-19,20:09:43,944,-0.47
2019-08-19,20:09:44,044,-0.49
2019-08-19,20:09:44,144,-0.52
2019-08-19,20:09:44,244,-0.55
2019-08-19,20:09:44,344,-0.59
2019-08-19,20:09:44,444,-0.62
2019-08-19,20:09:44,544,-0.65
2019-08-19,20:09:44,644,-0.68
2019-08-19,20:09:44,744,-0.72
2019-08-19,20:09:44,843,-0.75
2019-08-19,20:09:44,943,-0.79
2019-08-19,20:09:45,044,-0.82
2019-08-19,20:09:45,144,-0.85
2019-08-19,20:09:45,243,-0.88
2019-08-19,20:09:45,343,-0.91
2019-08-19,20:09:45,443,-0.94
2019-08-19,20:09:45,543,-0.97
2019-08-19,20:09:45,643,-0.99
2019-08-19,20:09:45,743,-1.01
2019-08-19,20:09:45,843,-1.03
2019-08-19,20:09:45,943,-1.04
2019-08-19,20:09:46,043,-1.05
2019-08-19,20:09:46,143,-1.06
2019-08-19,20:09:46,243,-1.07
2019-08-19,20:09:46,343,-1.07
2019-08-19,20:09:46,443,-1.07
2019-08-19,20:09:46,543,-1.06
2019-08-19,20:09:46,643,-1.06
2019-08-19,20:09:46,743,-1.05
2019-08-19,20:09:46,843,-1.04
2019-08-19,20:09:46,943,-1.02
2019-08-19,20:09:47,043,-1
2019-08-19,20:09:47,143,-0.98
2019-08-19,20:09:47,243,-0.96
2019-08-19,20:09:47,343,-0.94
2019-08-19,20:09:47,443,-0.91
2019-08-19,20:09:47,543,-0.89
2019-08-19,20:09:47,643,-0.86
2019-08-19,20:09:47,743,-0.83
2019-08-19,20:09:47,843,-0.8
2019-08-19,20:09:47,943,-0.77
2019-08-19,20:09:48,043,-0.74
2019-08-19,20:09:48,143,-0.71
2019-08-19,20:09:48,243,-0.68
2019-08-19,20:09:48,343,-0.64
2019-08-19,20:09:48,443,-0.6
2019-08-19,20:09:48,543,-0.57
2019-08-19,20:09:48,643,-0.53
2019-08-19,20:09:48,743,-0.49
2019-08-19,20:09:48,843,-0.45
2019-08-19,20:09:48,943,-0.4
2019-08-19,20:09:49,043,-0.36
2019-08-19,20:09:49,143,-0.31
2019-08-19,20:09:49,243,-0.27
2019-08-19,20:09:49,343,-0.22
2019-08-19,20:09:49,443,-0.17
2019-08-19,20:09:49,543,-0.12
2019-08-19,20:09:49,643,-0.08
2019-08-19,20:09:49,743,-0.03
2019-08-19,20:09:49,843,0.02
2019-08-19,20:09:49,943,0.06
2019-08-19,20:09:50,043,0.11
2019-08-19,20:09:50,143,0.15
2019-08-19,20:09:50,243,0.2
2019-08-19,20:09:50,343,0.24
2019-08-19,20:09:50,443,0.28
2019-08-19,20:09:50,543,0.32
2019-08-19,20:09:50,643,0.35
2019-08-19,20:09:50,743,0.39
2019-08-19,20:09:50,843,0.42
2019-08-19,20:09:50,943,0.46
2019-08-19,20:09:51,043,0.49
2019-08-19,20:09:51,143,0.52
2019-08-19,20:09:51,243,0.54
2019-08-19,20:09:51,343,0.57
2019-08-19,20:09:51,443,0.59
2019-08-19,20:09:51,543,0.6
2019-08-19,20:09:51,643,0.62
